week_id,flock_id,age_weeks,num_hens,feed_g_per_hen_day,feed_type,avg_temp,mortality_rate,avg_weight_kg,lights_hours_per_day,disease_outbreak,eggs_per_hen_day,total_eggs_week,is_low_performance,performance_class
1,1,23,218,110.7,1,23.9,0.16,1.31,12.9,0,0.287,437.5,1,0
2,1,24,207,107.3,0,25.1,0.34,1.44,12.7,0,0.427,618.3,1,0
3,1,25,206,113.0,0,23.9,0.37,1.42,13.6,0,0.537,773.8,1,0
4,1,26,212,105.5,0,23.0,0.19,1.67,12.9,0,0.516,766.3,1,0
5,1,27,215,110.1,1,25.9,0.27,1.53,13.2,0,0.777,1169.5,0,1
6,1,28,210,107.8,0,25.7,1.38,1.68,13.6,1,0.434,637.6,1,0
7,1,29,213,114.4,0,26.6,0.0,1.7,13.7,0,0.886,1321.5,0,2
8,1,30,200,109.8,1,27.0,1.14,1.59,13.3,0,0.877,1227.3,0,2
9,1,31,217,109.0,1,23.6,0.52,1.95,13.3,0,0.793,1204.3,0,1
10,1,32,216,112.8,0,26.2,0.17,1.81,13.3,0,0.864,1305.8,0,2
11,1,33,204,111.1,2,26.1,0.08,1.75,12.5,0,0.868,1240.0,0,2
12,1,34,207,109.9,0,24.5,0.77,1.86,13.3,0,0.607,879.4,1,0
13,1,35,214,103.9,0,24.7,0.28,1.86,13.3,0,0.477,714.3,1,0
14,1,36,203,118.6,0,26.5,0.5,1.83,13.5,0,0.607,862.1,1,0
15,1,37,208,116.4,2,24.1,0.78,1.97,13.3,0,0.4,583.0,1,0
16,1,38,200,108.2,2,23.7,0.26,2.06,13.0,0,0.285,398.8,1,0
17,1,39,215,114.7,2,24.2,0.56,2.09,13.4,0,0.194,292.3,1,0
18,1,40,213,111.9,2,26.3,0.15,2.0,13.2,0,0.205,305.7,1,0
19,1,41,198,111.7,1,25.1,0.34,2.0,13.5,0,0.1,138.6,1,0
20,1,42,198,114.0,0,22.8,0.64,2.09,13.1,0,0.1,138.6,1,0
21,1,43,216,103.9,1,25.6,0.3,2.24,12.4,0,0.1,151.2,1,0
22,1,44,198,108.2,1,22.7,1.2,2.34,13.1,1,0.1,138.6,1,0
23,1,45,218,114.6,1,23.4,0.27,2.11,12.8,0,0.1,152.6,1,0
24,1,46,200,110.4,1,25.1,0.56,2.33,12.7,0,0.1,140.0,1,0
